Date,Value,Type
7/14/2023,2,CO
7/15/2023,3,CO
7/16/2023,3,CO
7/17/2023,6,CO
7/18/2023,9,CO
7/19/2023,3,CO
7/20/2023,7,CO
7/21/2023,2,CO
7/22/2023,3,CO
7/23/2023,5,CO
7/24/2023,5,CO
7/25/2023,7,CO
7/26/2023,7,CO
7/27/2023,6,CO
7/28/2023,5,CO
7/29/2023,5,CO
7/30/2023,5,CO
7/31/2023,3,CO
2/1/2023,7,PM10
2/2/2023,6,PM10
2/3/2023,9,PM10
2/4/2023,10,PM10
2/5/2023,11,PM10
2/6/2023,13,PM10
2/7/2023,19,PM10
2/8/2023,26,PM10
2/9/2023,17,PM10
2/10/2023,8,PM10
2/11/2023,7,PM10
2/12/2023,4,PM10
2/13/2023,8,PM10
2/14/2023,13,PM10
2/15/2023,19,PM10
2/16/2023,21,PM10
2/17/2023,7,PM10
2/18/2023,7,PM10
2/19/2023,12,PM10
2/20/2023,18,PM10
2/21/2023,16,PM10
2/22/2023,18,PM10
2/23/2023,19,PM10
2/24/2023,19,PM10
2/25/2023,15,PM10
2/26/2023,13,PM10
2/27/2023,18,PM10
2/28/2023,51,PM10
3/1/2023,39,PM10
3/2/2023,12,PM10
3/3/2023,20,PM10
3/4/2023,7,PM10
3/5/2023,9,PM10
3/6/2023,29,PM10
3/7/2023,33,PM10
3/8/2023,19,PM10
3/9/2023,28,PM10
3/10/2023,18,PM10
3/11/2023,8,PM10
3/12/2023,14,PM10
3/13/2023,7,PM10
3/14/2023,8,PM10
3/15/2023,19,PM10
3/16/2023,27,PM10
3/17/2023,21,PM10
3/18/2023,7,PM10
3/19/2023,7,PM10
3/20/2023,11,PM10
3/21/2023,19,PM10
3/22/2023,27,PM10
3/23/2023,26,PM10
3/24/2023,25,PM10
3/25/2023,19,PM10
3/26/2023,15,PM10
3/27/2023,15,PM10
3/28/2023,21,PM10
3/29/2023,13,PM10
3/30/2023,19,PM10
3/31/2023,19,PM10
4/1/2023,32,PM10
4/2/2023,9,PM10
4/3/2023,18,PM10
4/4/2023,24,PM10
4/5/2023,16,PM10
4/6/2023,20,PM10
4/7/2023,18,PM10
4/8/2023,4,PM10
4/9/2023,7,PM10
4/10/2023,10,PM10
4/11/2023,14,PM10
4/12/2023,19,PM10
4/13/2023,15,PM10
4/14/2023,16,PM10
4/15/2023,20,PM10
4/16/2023,14,PM10
4/17/2023,17,PM10
4/18/2023,19,PM10
4/19/2023,25,PM10
4/20/2023,27,PM10
4/21/2023,24,PM10
4/22/2023,15,PM10
4/23/2023,13,PM10
4/24/2023,13,PM10
4/25/2023,27,PM10
4/26/2023,18,PM10
4/27/2023,12,PM10
4/28/2023,14,PM10
4/29/2023,16,PM10
4/30/2023,15,PM10
5/1/2023,14,PM10
5/2/2023,16,PM10
5/3/2023,16,PM10
5/4/2023,11,PM10
5/5/2023,15,PM10
5/6/2023,14,PM10
5/7/2023,15,PM10
5/8/2023,16,PM10
5/9/2023,21,PM10
5/10/2023,17,PM10
5/11/2023,19,PM10
5/12/2023,18,PM10
